engine,model_key,tokenizer_name,runs,mean_token_count,sd_token_count,mean_tokens_per_char,mean_tokens_per_word
rtsm,gpt2,modeltok::gpt2,50,491.8,128.83940327684962,0.20356602063821552,1.3174034971654813
rtsm,gpt2,modeltok::qwen2.5-0.5b-instruct,50,511.66,147.50740002191245,0.2157936471624476,1.4464093024665727
rtsm,gpt2,reference::openai-community/gpt2,50,491.8,128.83940327684962,0.20356602063821552,1.3174034971654813
rtsm,qwen2.5-0.5b-instruct,modeltok::distilgpt2,50,478.98,101.53203777073298,0.19751482946516027,1.345940545378936
rtsm,qwen2.5-0.5b-instruct,modeltok::gpt2,50,478.98,101.53203777073298,0.19751482946516027,1.345940545378936
rtsm,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,50,455.32,43.3737624066223,0.18304357155758108,1.2258577725933986
rtsm,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,50,478.98,101.53203777073298,0.19751482946516027,1.345940545378936
srpf,distilgpt2,modeltok::distilgpt2,50,175.7,218.12636760579394,0.28680060242250094,8.193684703774858
srpf,distilgpt2,modeltok::gpt2,50,175.7,218.12636760579394,0.28680060242250094,8.193684703774858
srpf,distilgpt2,modeltok::qwen2.5-0.5b-instruct,50,183.34,217.89359039378343,0.31138055384021074,20.535626417059692
srpf,distilgpt2,reference::openai-community/gpt2,50,175.7,218.12636760579394,0.28680060242250094,8.193684703774858
srpf,gpt2,modeltok::distilgpt2,50,154.36,134.4651931291712,0.25434609871125957,1.9425136565488341
srpf,gpt2,modeltok::gpt2,50,154.36,134.4651931291712,0.25434609871125957,1.9425136565488341
srpf,gpt2,modeltok::qwen2.5-0.5b-instruct,50,180.36,157.94855271930302,0.31539087270515154,2.8824035701104367
srpf,gpt2,reference::openai-community/gpt2,50,154.36,134.4651931291712,0.25434609871125957,1.9425136565488341
srpf,qwen2.5-0.5b-instruct,modeltok::distilgpt2,50,147.44,39.5289405734222,0.17576366648349584,1.2987763451222776
srpf,qwen2.5-0.5b-instruct,modeltok::gpt2,50,147.44,39.5289405734222,0.17576366648349584,1.2987763451222776
srpf,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,50,139.4,35.42799538702207,0.1666332472031528,1.2291447270593645
srpf,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,50,147.44,39.5289405734222,0.17576366648349584,1.2987763451222776
