engine,model_key,run_dir,native_output_tokens,char_count,word_count,native_tokens_per_char,native_tokens_per_word
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T160551Z_a-research-vessel-recovered-a-tr,152,672,103,0.2261904761904762,1.4757281553398058
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T160627Z_a-research-vessel-recovered-a-tr,386,630,106,0.6126984126984127,3.641509433962264
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T160649Z_a-research-vessel-recovered-a-tr,871,34,6,25.61764705882353,145.16666666666666
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T160655Z_a-research-vessel-recovered-a-tr,429,2137,348,0.20074871314927467,1.2327586206896552
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T160716Z_a-research-vessel-recovered-a-tr,333,721,96,0.4618585298196949,3.46875
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T160800Z_a-research-vessel-recovered-a-tr,335,721,122,0.4646324549237171,2.7459016393442623
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T160823Z_a-research-vessel-recovered-a-tr,428,345,59,1.2405797101449276,7.254237288135593
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T160913Z_a-research-vessel-recovered-a-tr,542,3199,423,0.16942794623319787,1.281323877068558
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T161053Z_a-research-vessel-recovered-a-tr,245,395,53,0.620253164556962,4.622641509433962
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T161221Z_a-research-vessel-recovered-a-tr,336,677,100,0.4963072378138848,3.36
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T161345Z_a-research-vessel-recovered-a-tr,429,989,115,0.43377148634984836,3.7304347826086954
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T161715Z_a-research-vessel-recovered-a-tr,397,2040,311,0.1946078431372549,1.2765273311897105
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T161727Z_a-research-vessel-recovered-a-tr,328,672,106,0.4880952380952381,3.0943396226415096
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T161752Z_a-research-vessel-recovered-a-tr,219,554,88,0.3953068592057762,2.4886363636363638
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T161806Z_a-research-vessel-recovered-a-tr,220,773,94,0.2846054333764554,2.3404255319148937
