engine,model_key,prompt_index,runs,mean_words,sd_words,mean_mattr_50,mean_mtld,mean_word_entropy_bits,mean_distinct_2,mean_repeated_trigram_fraction,mean_prompt_tfidf_cosine,mean_previous_step_tfidf_cosine,mean_flesch_reading_ease,mean_flesch_kincaid_grade,mean_gunning_fog
lvtc,distilgpt2,3,10,91.3,53.40630424709552,0.947002642974358,628.3156589909973,5.694062315840233,0.9502476662221376,0.048140096618357484,0.02684633523002435,0.2700057985588464,52.1060874728708,12.032867321976036,14.913030118465201
lvtc,distilgpt2,4,10,83.7,68.46742940178848,0.973003853821617,665.4282678468817,5.693563117285974,0.9683127572016461,0.030165289256198345,0.02045646356828537,0.11933050107573609,52.75999667663791,12.898129036505912,16.048696960576383
lvtc,gpt2,0,10,91.0,26.570660511172843,0.9827295745568204,816.4499999999996,6.365040404632187,1.0,0.0,0.019249123016823647,0.023267975443816435,52.80901942014456,11.262056038324996,13.407386747322112
lvtc,gpt2,1,10,81.9,33.05702144275352,0.9755477681426271,679.7434484848484,6.138111907822145,1.0,0.0,0.030159726452745884,0.02352357847619454,55.3808286508224,11.394192447836437,14.45816188991374
lvtc,gpt2,2,10,99.8,49.988443108827106,0.9555899018620133,504.77782106969715,6.258049903536725,0.9802208187350174,0.017258883248730962,0.0370134490313073,0.2946303977042898,47.65096588136581,13.682955914629568,16.3949730856766
lvtc,gpt2,3,10,77.6,35.556527764486034,0.9594677734133118,619.3408666666664,5.959258653186232,1.0,0.0,0.03042980715841941,0.1124980901627282,58.29117701058252,11.164434116727262,14.925907599280013
lvtc,gpt2,4,10,86.6,37.22066331727281,0.9526890484756413,790.2573777777794,6.062380732359644,1.0,0.0,0.022990972004684255,0.05997059357813128,47.51517954443461,14.211330298823096,16.948148145860934
lvtc,qwen2.5-0.5b-instruct,0,10,83.1,24.83926103749644,0.8581471151544017,189.52314405822932,5.807654442425892,0.9707399769015014,0.007666224580017677,0.04822567405183852,0.19945492573445237,40.593974582292894,11.198422305813255,15.539886457091455
lvtc,qwen2.5-0.5b-instruct,1,10,64.1,23.421025691554252,0.8606631910255477,186.8997289897091,5.460818420213254,0.9558808504454545,0.008730158730158732,0.06566501411035287,0.135700378661718,28.85395657919089,14.713057833601544,19.738023265947568
lvtc,qwen2.5-0.5b-instruct,2,10,75.4,30.919968377157897,0.9012840853838859,144.25462745098042,5.7415689445409,0.9870796147758302,0.0040144520272982764,0.05566828832233765,0.1632541009564761,17.81202453366182,17.825428446972836,22.170201245079586
lvtc,qwen2.5-0.5b-instruct,3,10,74.3,35.92291129008833,0.9068969270371285,122.747218253656,5.5288399969725095,0.9859197991901804,0.0020792932557638366,0.037203664005770555,0.1680497493915259,48.00675588910504,12.18902774860958,16.868503930683822
lvtc,qwen2.5-0.5b-instruct,4,10,65.9,34.008005593454676,0.8720462380472611,116.97217520016545,5.409254659996128,0.9822273392996947,0.0032258064516129,0.05777843412960247,0.2110721584819541,20.62893800944021,14.593484649866616,18.579949398738243
rtsm,distilgpt2,0,10,399.1,111.45846261674745,0.9733711444561239,553.8668269920411,7.8269713145251485,0.7564839462672376,0.2412934570224284,0.2406370212359811,0.9452736007461141,51.60521081633478,12.163379020338152,14.788245199513806
rtsm,distilgpt2,1,10,365.7,140.268829197525,0.9624068970201183,462.366895271276,7.63536939947911,0.731864961346145,0.2667330262182217,0.2917633164462344,0.9021121944944468,46.734926522151476,14.713440449154124,18.15111459055358
rtsm,distilgpt2,2,10,396.8,62.79738140329668,0.9591792290023594,456.7781077113612,7.668554481184944,0.6936530590476794,0.30218611029110265,0.2595482948835789,0.9257975637155289,40.52303448359145,15.170008859120287,18.45173689956379
rtsm,distilgpt2,3,10,386.2,42.533124346404,0.961869998986676,403.39328608333557,7.74842476266768,0.7235893352698453,0.2735128546764293,0.3012265959056256,0.9352582653041461,40.51700225990813,14.768164418148842,17.909044258828086
rtsm,distilgpt2,4,10,428.6,176.48619713104415,0.9699670038702763,602.0836592805963,7.754134565424787,0.7026040072278953,0.2951662352621584,0.23516136268243765,0.9096258737316548,25.01087118061138,17.405004700530917,20.49345661775963
rtsm,gpt2,0,10,364.6,126.52816989816054,0.9829389078440176,1226.0381866187643,8.131149331186236,0.952064631956912,0.04784172661870504,0.2184629227699327,0.911862274706966,35.58662552763944,15.904935544860024,18.80409223741073
rtsm,gpt2,1,10,370.1,34.12867806796311,0.9817166442160966,1007.6609750865564,8.258613408922937,0.9977969056129876,0.0,0.21148104305907967,0.9111896409548281,53.12340111955751,12.557953529386442,15.668211415268852
rtsm,gpt2,2,10,393.7,204.94771691011016,0.974764987398425,777.6521571781919,7.9308811773866426,0.8635595907453298,0.13364417771862333,0.20527727423245476,0.9381488216306828,45.80363590575635,14.429491444702128,17.88719366591609
rtsm,gpt2,3,10,393.3,101.58964295416908,0.9777804829377972,872.1908846922466,8.14141341307057,0.9256055942966224,0.07409638554216867,0.209202731543736,0.8867646809941915,53.300872327493195,11.813252805882053,14.665183784129175
rtsm,gpt2,4,10,413.8,90.36813597723481,0.9776462492340972,873.0557914142352,8.107374427668251,0.8248692360139263,0.17385989778102545,0.19896941775009053,0.9269078401243174,36.082460640581054,15.147338733600364,18.25599091661731
rtsm,qwen2.5-0.5b-instruct,0,10,350.5,45.66362520285338,0.9037716471068409,294.95189222667693,7.522894237780655,0.9254132445517532,0.05857779773511229,0.2787660163954569,0.918214230088436,36.06746038425109,13.201415336621682,16.19759297511201
rtsm,qwen2.5-0.5b-instruct,1,10,383.8,24.41675199074967,0.894494995083394,335.2523493499659,7.621144971256882,0.953915402123398,0.02475435447845682,0.3542124586776013,0.9261879083460564,54.15092432374322,10.172802742408837,12.70039493676821
rtsm,qwen2.5-0.5b-instruct,2,10,393.1,37.672418439902565,0.9089679223912072,346.65723573378045,7.706728582951773,0.9457626911097872,0.03815348145100589,0.24292924306583843,0.9117878170948096,25.838184696753615,15.616907108728801,19.307752549681616
rtsm,qwen2.5-0.5b-instruct,3,10,365.5,76.08073197451361,0.9012637507946352,350.034672586265,7.627206421356196,0.9675036488300034,0.020397948224442065,0.2085282692065388,0.9251656115701005,47.46116323359765,11.865362328605343,15.128772209422735
rtsm,qwen2.5-0.5b-instruct,4,10,396.7,37.72134674159978,0.9174330780250932,397.09527514947393,7.800382771633288,0.9861357594394443,0.003940644802870175,0.24816570784381287,0.9071344859308678,7.143563271438742,17.728244067385674,21.764633418269035
srpf,distilgpt2,0,10,121.3,175.19769785397676,0.92898009886842,204.1132824886992,4.836813113461913,0.6696807273897939,0.12565195929751943,0.020616312815232567,0.3313651133573078,43.69312169385693,12.442505568836875,17.895356075783134
srpf,distilgpt2,1,10,94.7,91.61155919302857,0.8630750350487192,248.45365925142482,4.727057242317063,0.7113768768768769,0.08472847508920066,0.03407394140656837,0.20459984244704113,43.47274751517985,14.380399389186845,19.42469100751511
srpf,distilgpt2,2,10,110.7,200.6013459575982,0.9750274925772308,304.4734409439308,3.3140250845391845,0.5276778513214625,0.06935483870967743,0.014813245177357211,0.18983741517053107,39.14702575507468,10.504813815092032,17.550629557543765
srpf,distilgpt2,3,10,181.1,205.1029280900473,0.945135486185702,221.8875074714574,5.53082427434439,0.8074414704783297,0.18926985268424595,0.030238045820932546,0.30658398277085375,60.13334917330785,9.565338407611739,12.986085914613152
srpf,distilgpt2,4,10,121.4,140.0303141783553,0.9509746689294672,329.8173855830569,5.181628046614055,0.8615707635737756,0.1354183386048561,0.022983871851094323,0.2817748970216437,58.76616834890798,9.172925325419683,14.018654586079014
srpf,gpt2,0,10,93.2,76.92391623473735,0.96019247530031,552.6329999999996,5.772393766568154,0.926908933592905,0.07076738019081986,0.016262305641689147,0.10639751933136758,53.40019872450889,13.096468050245809,17.01351603401974
srpf,gpt2,1,10,60.7,41.27697771020655,0.967526509959306,380.3578134499013,5.284910768284507,0.9745762711864406,0.02307692307692307,0.02354352954979181,0.06317717747993742,46.05062940083767,12.172834059142428,15.409636369687655
srpf,gpt2,2,10,95.8,63.56763676938482,0.9454665897878731,274.35468913293454,5.86917975449704,0.9634854870986022,0.03308457711442786,0.020313608590248736,0.18277402460382128,52.97739038662788,12.036912460426443,14.502628646396932
srpf,gpt2,3,10,114.8,104.39220916013481,0.9495208966433795,175.5416746888587,5.694420048818022,0.8879663113818044,0.10964005509971853,0.018441952569457094,0.21194603186011504,71.70197132556103,10.842921006456962,17.467066123249445
srpf,gpt2,4,10,145.2,160.6167280619716,0.8614104641901422,428.4668166666671,5.832043525688408,0.8259229113059916,0.07257769652650822,0.02286158937410879,0.22573352957840118,48.296330448438795,11.747523841563845,16.28791687422237
srpf,qwen2.5-0.5b-instruct,0,10,109.7,26.50807005003906,0.8927058217722689,205.22558101135192,6.2776470652448495,0.9971354442444138,0.0,0.05315038784767508,0.24007157586160394,18.990169043191674,15.531107785149786,19.51632037408246
srpf,qwen2.5-0.5b-instruct,1,10,110.7,24.239774476398633,0.9194787723971934,266.82486003016595,6.433438588293312,0.9968457671693465,0.0,0.07305596496907092,0.1168953518724342,15.669398937336997,15.558730394835226,20.191874991367726
srpf,qwen2.5-0.5b-instruct,2,10,123.5,24.32762490119686,0.9208416775866061,241.9583984051037,6.524901764960054,0.9943351517439213,0.0,0.05055072315904109,0.13497782051656684,8.205961318127535,17.184640543942365,21.239879908565406
srpf,qwen2.5-0.5b-instruct,3,10,129.2,18.017275660382793,0.9061944620483929,212.07345789335,6.523781424124519,0.9941300700382367,0.0,0.04955108312542121,0.2137509576675863,11.158961410499685,18.80566550291466,22.842608889087167
srpf,qwen2.5-0.5b-instruct,4,10,94.6,39.36213634672003,0.9159480942683048,199.8966623827692,6.091561996628157,0.9939212432731293,0.0,0.04738267548460012,0.14161413898712874,-5.489074494632012,18.643881402634996,23.16251077011926
